index,url,Adgangskvotienter,Uddannelse,ledighed_nyudd,maanedloen_nyudd,ledighed_10aar,maanedloen_10aar
0,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/sprog/amerikanske-studier,0.0,Amerikanske studier - Syddansk Universitet,28.0,23300.0,,
1,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/bioteknologi,0.0,Bioteknologi - Aalborg Universitet,23.0,31900.0,0.0,45150.0
2,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/byggeri,5.7,Byggeri - Aarhus Universitet,4.0,37600.0,0.0,52050.0
3,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/byggeteknologi,0.0,Byggeteknologi - Danmarks Tekniske Universitet,6.0,38300.0,1.0,50550.0
4,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/bygningsdesign,0.0,Bygningsdesign - Danmarks Tekniske Universitet,8.0,37650.0,,
5,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/computerteknologi,0.0,Computerteknologi - Aarhus Universitet,1.0,41250.0,1.0,54300.0
6,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/design-og-innovation,0.0,Design og innovation - Danmarks Tekniske Universitet,11.0,38100.0,,
7,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/elektroteknologi,0.0,Elektroteknologi - Danmarks Tekniske Universitet,2.0,40800.0,,
8,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/elektroteknologi,0.0,Elektroteknologi - Aarhus Universitet,1.0,40050.0,,
9,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/energisystemer,0.0,Energisystemer - Syddansk Universitet,,,,
10,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/energiteknologi,0.0,Energiteknologi - Syddansk Universitet,11.0,36600.0,,
11,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/engineering-innovation-and-business,0.0,"Engineering, Innovation and Business - Syddansk Universitet",2.0,37600.0,,
12,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/fysik-og-nanoteknologi,0.0,Fysik og nanoteknologi - Danmarks Tekniske Universitet,3.0,31600.0,0.0,58900.0
13,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/fysik-og-teknologi,7.2,Fysik og teknologi - Syddansk Universitet,11.0,35700.0,,
14,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/geofysik-og-rumteknologi,0.0,Geofysik og rumteknologi - Danmarks Tekniske Universitet,10.0,32300.0,,
15,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/kemi-og-bioteknologi,0.0,Kemi og bioteknologi - Syddansk Universitet,16.0,36100.0,0.0,50000.0
16,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/oevrigetekniskvidenskab/landinspektoervidenskab,0.0,Landinspektørvidenskab - Aalborg Universitet,8.0,41350.0,3.0,
20,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/matematik-teknologi,7.7,Matematik-teknologi - Aalborg Universitet,6.0,37500.0,,
21,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/medicin-og-teknologi,0.0,Medicin og teknologi - Danmarks Tekniske Universitet,4.0,37850.0,3.0,59000.0
22,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/mechatronics,0.0,Mechatronics - Syddansk Universitet,5.0,39500.0,,
23,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/miljoevidenskab,0.0,Miljøvidenskab - Aalborg Universitet,,,,
24,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/product-development-and-innovation,0.0,Product Development and Innovation - Syddansk Universitet,13.0,37750.0,0.0,47900.0
25,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/robotteknologi,0.0,Robotteknologi - Syddansk Universitet,1.0,39300.0,,
26,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/software,6.9,Software - Aalborg Universitet,2.0,41800.0,0.0,53900.0
28,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/software-engineering,7.6,Software Engineering - Syddansk Universitet,3.0,41700.0,,
29,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/spiludvikling-og-laeringsteknologi,6.5,Spiludvikling og læringsteknologi - Syddansk Universitet,26.0,33050.0,,
30,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/sundhedsteknologi,0.0,Sundhedsteknologi - Aalborg Universitet,4.0,37700.0,2.0,54900.0
31,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/sundheds-og-velfaerdsteknologi,0.0,Sundheds- og velfærdsteknologi - Syddansk Universitet,9.0,36850.0,,
32,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/miljoeteknologi,8.6,Miljøteknologi - Danmarks Tekniske Universitet,10.0,33700.0,2.0,52900.0
33,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/aestetik-og-kultur,0.0,Æstetik og kultur - Aarhus Universitet,38.0,26900.0,5.0,39800.0
34,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/anvendt-filosofi,0.0,Anvendt filosofi - Aalborg Universitet,33.0,28400.0,,
